	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample110	sample111	sample112	sample113	sample114	sample115	sample116	sample117	sample118	sample119	sample120	sample121	sample122	sample123	sample124	sample125	sample126	sample127	sample128	sample129	sample130	sample131	sample132	sample133	sample134	sample135	sample136	sample137	sample138	sample139	sample140	sample141	sample142	sample143	sample144	sample145	sample146	sample147	sample148	sample149	sample150	sample151	sample152	sample153	sample154	sample155	sample156	sample157	sample158	sample159	sample160	sample161	sample162	sample163	sample164	sample165	sample166	sample167	sample168	sample169	sample170	sample171	sample172	sample173	sample174	sample175	sample176	sample177	sample178	sample179	sample180	sample181	sample182	sample183	sample184	sample185	sample186	sample187	sample188	sample189
OTU1	247	3137	673	6926	1055	23	30	4899	6328	1762	3788	47414	10410	1850	16229	1678	7606	8466	32715	14668	4403	12321	4827	7115	20	6293	6441	2595	18302	7789	26526	8098	11614	8541	5511	9708	11584	18941	26	2026	44	2253	15098	7224	16066	8812	40	9578	593	24239	8671	8562	20	27	3669	3381	7275	13272	10577	5474	1514	145	6402	9078	4968	15012	14431	4521	17767	16795	795	13510	7662	9515	4545	0	1797	274	16931	6288	4089	6459	9127	6258	1716	1426	4338	5985	3899	6423	7968	3584	4403	4739	1926	1846	9589	1111	7598	10153	2339	2245	4955	6596	6072	4946	2523	3510	3975	629	6407	1040	6369	4332	2521	8810	1343	5440	297	5890	9840	6261	1977	6961	5439	1368	2291	4780	1612	3086	8904	12150	2596	3708	4981	1893	2222	2720	7086	5066	13000	18477	4128	3776	22	15	2188	9483	12100	9276	49795	12672	3711	3083	4464	12451	3324	4961	7915	4862	23798	103	2615	2229	15929	3790	6746	5446	4685	15538	4639	5829	4181	2696	2507	9083	13258	2225	5736	4190	43053	3015	17548	6301	11529	8304	19629	7052	9526
OTU2	9	2133	3	59	2251	16	10	2497	2475	9	168	7	6404	11883	13463	7628	27	23513	18313	11724	14620	3893	5420	23	26	9687	8807	13182	21519	23175	39	18776	19585	3098	17719	22341	6924	33	19	8	340	68	7247	3099	5365	16945	28	18419	22	2911	9465	20277	18	28	2086	23	13114	12734	19784	8929	955	70	9815	12933	10976	18306	4194	21	9051	4735	27701	12764	9718	5179	22	9	737	1442	5992	5059	6994	576	16790	20	2716	25	1541	11	10966	8659	9	4198	9	3235	840	9686	15	14	6	11628	3692	5031	2438	9852	11564	7206	2438	4027	16736	3960	3684	54	3845	3184	4335	17	7595	429	30	3894	9564	2725	3015	10636	19068	5364	4133	10443	6407	3662	598	878	4276	4126	11903	895	1224	2560	12	9536	16483	907	9579	4878	10	145	6938	18	8627	15	14	301	2426	590	7	20185	14590	4366	7180	6795	10	9	19	18599	5372	8	13048	8077	8161	7520	37	46	8247	17559	15	18475	27	22	12137	3427	31	17588	28	37	6765	11084	33	22	45
OTU3	27683	2106	2315	12009	7665	25	212	13813	11103	2202	30266	778	2372	3347	5443	7558	45204	24274	204	2618	2559	21009	3309	617	6656	3472	12264	1759	16962	7888	576	8761	4568	10472	3872	27050	7354	1144	39134	16528	54	6543	10794	7401	26596	3700	51797	8763	13130	10295	10070	1759	23863	41704	8116	27574	2205	2017	9949	4006	24597	3778	5561	5608	3397	5386	1974	404	15096	5836	2573	6546	759	18406	25907	3533	17362	1336	1041	2186	16347	31164	16521	24	2920	17417	8686	35	2364	4	24467	4181	2091	7523	6440	4450	33	13	1775	12553	34	2052	7373	219	8659	12426	8716	22810	3248	17166	10962	8917	11316	11526	4822	2153	14864	48	24	15945	1442	3198	2143	2182	7502	5537	2295	955	6935	9127	20824	9552	6238	13989	6142	2715	9435	11112	13426	7488	148	7039	34	6832	8386	10762	3067	30	1319	9267	3436	11214	5884	20921	90	9476	3856	11689	679	5461	7317	7558	743	10753	12046	158	1528	13768	18208	2520	3993	2663	1873	105	1492	1298	16100	16423	211	5355	1107	6017	1197	17753	16673	8516	2054	6917	26540
OTU4	1202	22	10	1511	0	16204	52484	339	1896	7534	1279	19837	37	60	3	16156	8290	8	7645	6	18	16	64	15292	38106	21971	237	74	23	128	6780	10	2061	66	363	16	0	18549	10632	2031	4289	111	496	263	15	38	4503	50	1197	162	20	0	14893	36218	121	408	6	62	0	1136	884	5857	128	0	6	544	5214	1195	854	54	23095	122	19	17	3783	24	18	11950	3008	33	92	117	9	440	405	3209	199	9798	40	23	2468	185	3742	17	0	0	1256	2977	400	32	160	92	22	18	64	52	99	472	1629	172	117	1395	167	12	132	0	137	237	6823	3175	88	1050	8421	68	418	18	0	1688	23489	16663	292	7	10	56	160	6	16	3	360	9	16	51	373	11	13004	19442	72	4383	12	1382	739	17	76	4	230	37	14	63	21	294	1544	4776	8677	444	5	2049	16848	50	7	15	39	98	9226	769	460	163	3298	10215	122	39	8160	417	6699	84	40	625	40057	2659	291
OTU6	0	6004	0	5436	1393	0	0	0	0	5595	1618	4	3538	0	999	711	7	7	1480	1863	1921	2864	1658	6	7	6726	3162	3183	8011	3551	7	24	0	4	0	6682	4039	4	3	0	4	0	6674	3882	7	7732	15	1055	7753	4826	5111	7	11	13	0	10334	2228	11769	3215	2616	12907	24	2205	86	0	0	261	0	12	0	6081	2058	3957	7	9	0	0	574	2871	564	5	3	2238	2	4987	0	2379	5	7	2059	0	2392	54	0	0	1076	0	6	0	210	96	3940	2326	0	1858	6	0	3265	1203	19	884	8	2800	621	1516	7	452	9397	9	3732	0	4227	1560	2348	0	766	2148	1075	0	2877	0	8758	1905	0	2297	2518	555	2181	5	1239	0	0	794	1249	0	2259	1547	13	8727	2768	0	3554	1153	3005	0	13	1846	1375	945	2107	0	0	614	0	0	0	1858	0	8	8274	9	7	4009	2706	5	14	0	12	2338	1109	11	3301	13	5	4	4467	6	5	4
OTU10	9	4260	977	29	1084	17	5	9060	22428	11411	862	4	290	9742	29554	20155	109	7719	2033	13251	21142	27671	612	83	43	3442	1735	9412	8694	16268	31483	27821	18083	4748	13865	3763	4231	3754	19	3	30531	68	6963	20403	59	14794	51	19000	28039	1832	7769	28447	28	62	3505	25609	7114	13180	11559	20784	12697	226	6539	8853	2105	13111	12399	30	131	7756	627	2263	7697	38	29	0	165	44064	16743	8899	8125	12740	15220	15568	14332	25588	5300	33	20473	11975	12	3484	13856	7624	6408	13441	21835	20984	0	5209	1031	25907	8648	23909	17451	16360	16821	12852	13092	1736	20336	11404	5920	12533	6438	6219	10657	19774	23788	7337	24047	2018	11387	3493	2714	9284	1479	3170	6079	4623	3093	767	1833	6952	10582	7188	10613	10997	13894	6905	20	2022	18569	1853	14	5367	6819	1906	515	5554	25	2672	18953	239	9849	1233	4405	312	4254	9716	23503	0	26626	19469	18626	23	27316	7546	13674	10639	8304	1573	6919	17682	12039	17604	18224	15749	25443	19629	71	10171	59	46	7221	20080	48	23166	124
OTU13	2998	3	4934	81	350	0	0	82	17	85	121	1422	39	85	4	567	5114	262	2121	8	12	4	86	221	4580	0	13	0	11	7	128	45	2	47	21	0	0	197	13758	1005	0	2658	0	82	65	2335	43954	0	288	109	5	6	18744	1021	8731	385	11	34	0	7	59	3053	33	12	56	44	429	680	14940	7760	17	7	1554	359	1736	6576	28	31	150	397	0	1080	37	1146	59	342	0	202	27	0	757	2595	857	0	222	0	184	435	71	0	3	107	0	35	28	23	11	10	396	20	7	441	628	0	0	307	17	0	186	72	238	95	0	55	429	4	28	163	84	1513	0	0	155	141	28	0	14	67	127	704	311	16	7	0	21889	501	24	1493	9	12	105	786	0	0	26	61	54	609	0	0	54	456	10	19	57	602	361	35	8	0	647	336	0	598	497	18	414	2602	12	0	102	9	7391	235	41	18	485	2412	395
OTU14	4698	4289	1665	1308	15698	53349	8578	823	1403	104	308	4261	178	66	484	62	1481	492	7329	8106	857	278	568	669	1956	260	726	197	426	2718	2498	2362	770	3575	7660	848	12	818	1065	1241	18	10682	113	806	433	191	2709	14590	13641	31574	38	502	15196	220	6011	1278	1780	327	142	70	210	25102	1114	1438	1551	549	930	1898	339	614	298	224	53	11412	1564	8332	1240	1151	2133	2944	174	17	719	13299	1769	178	401	43	85	94	750	350	38	157	1079	47	478	193	7002	7386	40	390	155	91	4324	592	95	1049	4354	220	235	594	684	4350	29	75	58	187	16	168	780	1783	6253	1058	1761	34	106	617	185	220	687	220	116	142	46	29	97	193	573	236	438	1272	169	69	631	4415	3295	3039	699	5340	399	783	140	422	97	3902	468	482	96	73	6848	6097	2336	443	1262	288	1060	115	444	1957	2174	3525	362	821	1106	351	2860	1141	125	270	11133	317	1169	175	3487	499	22031	1366	3345
OTU16	19	0	0	0	822	17	17	2637	1574	0	5	0	0	0	951	177	0	0	0	857	1055	2823	1599	6	0	1425	1584	1029	1910	2401	0	545	0	0	21	5965	928	794	23	9	13	0	3158	5929	6	596	0	1056	15	2307	2186	759	0	11	316	0	2294	2427	792	1082	211	24	3591	1655	926	3732	483	12	12	4899	0	2179	2132	12	95	0	0	45	1989	374	2021	0	2509	0	488	902	1220	0	636	766	0	550	0	0	313	630	0	0	0	747	424	20	540	1858	270	972	1173	0	403	364	1553	0	257	1700	520	0	814	1216	10	1479	2166	1360	491	2050	411	1000	269	1050	2502	1362	0	870	561	0	1197	638	344	974	0	939	0	0	1716	496	9	0	468	0	2315	16	26	1853	2452	745	2304	2628	345	339	1136	1469	0	0	166	1943	0	53	381	444	0	0	9	708	401	0	0	0	1891	0	0	444	0	449	13	10	1120	500	0	4	0
OTU18	1033	14	0	5	0	4	4	0	0	0	0	0	5902	474	0	2247	9	5	0	77	876	7	1919	0	5	5324	231	4357	55	108	8	15	0	0	4	0	3115	329	0	4	8	9	2904	1675	0	234	0	952	5	512	2145	347	4	4	357	2557	1998	1846	1620	2350	271	23	1722	0	287	0	0	9	6	8	373	1177	1068	8	7	0	5	252	2132	487	0	3	484	8	429	5	351	0	428	3	0	487	0	0	0	166	3	0	0	6399	270	3	5	5	0	1122	0	0	2321	1772	1967	16	348	672	534	2653	1325	1044	0	0	0	2188	251	391	6	461	301	666	902	913	0	166	172	0	1551	416	51	0	7	1214	0	3	292	0	0	0	303	2	0	6	0	0	0	211	0	0	426	491	25	738	0	0	0	339	0	3	8	775	5	0	6	0	1343	3	4	139	0	9	864	0	0	274	6	8	3	5440	8	0	4
